
ID,Street1,Street2,Street3
Croisement1,13,Quai Jules Guesde,
Croisement2,Allée A,Allée H,
Croisement3,Allée A,Allée J,
Croisement4,Allée A,Allée K,
Croisement5,Allée A,Allée Nord,
Croisement6,Allée Chabrier,Sente des Jolivettes,
Croisement7,Allée Claude Debussy,Rue Claude Debussy,
Croisement8,Allée Claude Debussy,Sentier Émile Zola,
Croisement9,Allée de l'Annapurna,Allée de la Vanoise,
Croisement10,Allée de l'Horizon,Rue du Général Malleret-Joinville,
Croisement11,Allée de la Petite Faucille,Allée du Petit Tonneau,
Croisement12,Allée de la Petite Faucille,Passage de la Petite Faucille,
Croisement13,Allée de Seine,Rue de l'Entente,
Croisement14,Allée des Acacias,Voie Buffon,
Croisement15,Allée des Noyers,Avenue Rouget de Lisle D5,
Croisement16,Allée du Coteau,Allée de la Petite Faucille,
Croisement17,Allée du Coteau,Allée du Puits Farouche,
Croisement18,Allée du Coteau,Passage de la Petite Faucille,
Croisement19,Allée du Mail,Avenue Youri Gagarine D5,
Croisement20,Allée du Petit Tonneau,Allée de la Petite Faucille,
Croisement21,Allée du Poteau,Rue Édouard Tremblay,
Croisement22,Allée du Puits Farouche,Allée du Petit Tonneau,
Croisement23,Allée Fernand Léger,Allée Auguste Renoir,
Croisement24,Allée Gustave Courbet,Allée Fernand Léger,
Croisement25,Allée Jacques de Lépiney,Rue Louis Lachenal,
Croisement26,Allée Jean Couzy,Rue Lionel Terray,
Croisement27,Allée Jean Couzy,Rue Louis Lachenal,
Croisement28,Allée Michel Croz,Rue Lionel Terray,
Croisement29,Allée Pierre Fresnay,Rue Julian Grimau,
Croisement30,Allée Pierre Gaspard,Rue Louis Lachenal,
Croisement31,Allée Pierre Lamouroux,Boulevard de Stalingrad D5,
Croisement32,Allée Volta,Rue Georges Martin,
Croisement33,Avenue Abert Einstein,Rue d'Ivry,
Croisement34,Avenue Albert Thomas,Avenue Rouget de Lisle D5,
Croisement35,Avenue Albert Thomas,Rue Camille Blanc,
Croisement36,Avenue Ambroise Croizat,Allée Arthur Teisseire,
Croisement37,Avenue Ambroise Croizat,Avenue de l'Abbé Roger Derry,
Croisement38,Avenue Ambroise Croizat,Rue du Château,
Croisement39,Avenue Ambroise Croizat,Rue Germain Defresne,
Croisement40,Avenue Ambroise Croizat,Rue Saint-Germain,
Croisement41,Avenue Anatole France D155,Avenue Eva Salmon,
Croisement42,Avenue Anatole France D155,Avenue Jean Jaurès,Avenue Anatole France D155
Croisement43,Avenue Anatole France D155,Avenue Paul Vaillant-Couturier D155,
Croisement44,Avenue Anatole France D155,Avenue Vial,
Croisement45,Avenue Anatole France D155,Passage Gérard,
Croisement46,Avenue Anatole France D155,Place Pierre Semard,
Croisement47,Avenue Anatole France D155,Rue Charles Fourier,
Croisement48,Avenue Anatole France D155,Rue d'Ivry,
Croisement49,Avenue Anatole France D155,Rue Jules Ferry,
Croisement50,Avenue Anatole France D155,Rue Pierre Semard D155,
Croisement51,Avenue André Maginot,Avenue Ernest Havet,
Croisement52,Avenue André Maginot,Rue André Visage,
Croisement53,Avenue André Maginot,Rue Broussais,
Croisement54,Avenue André Maginot,Rue Camille Groult,
Croisement55,Avenue André Maginot,Rue d'Alègre,
Croisement56,Avenue André Maginot,Rue des Marguerites,
Croisement57,Avenue André Maginot,Rue Paul Bert,
Croisement58,Avenue André Maginot,Rue Roger Contesenne,
Croisement59,Avenue Chanzy,Avenue d'Orléans,
Croisement60,Avenue Chanzy,Avenue de l'Insurrection,
Croisement61,Avenue Chanzy,Cours de la Gare,
Croisement62,Avenue Danielle Casanova,Avenue de l'Abbé Roger Derry D155,
Croisement63,Avenue Danielle Casanova,Avenue Guy Môquet,
Croisement64,Avenue Danielle Casanova,Avenue la Bruyère,
Croisement65,Avenue Danielle Casanova,Avenue Paul Vaillant-Couturier D155,
Croisement66,Avenue Danielle Casanova,Rue du 18 Juin 1940,
Croisement67,Avenue Danielle Casanova,Rue Gabriel Péri,
Croisement68,Avenue Danielle Casanova,Rue Marcelin Berthelot,
Croisement69,Avenue Danielle Casanova,Rue Rachel,
Croisement70,Avenue Danielle Casanova,Rue Talma,
Croisement71,Avenue de l'Abbé Roger Derry D155,Avenue Ambroise Croizat,
Croisement72,Avenue de l'Abbé Roger Derry D155,Avenue Youri Gagarine D5,
Croisement73,Avenue de l'Abbé Roger Derry D155,Place de l'Église,
Croisement74,Avenue de l'Abbé Roger Derry D155,Rue Audigeois,
Croisement75,Avenue de l'Abbé Roger Derry D155,Rue Saint-Germain,
Croisement76,Avenue de l'Insurrection,Rue de la Marne,
Croisement77,Avenue de la Commune de Paris,Allée Arsène Gravier,
Croisement78,Avenue de la Commune de Paris,Allée du Cèdre,
Croisement79,Avenue de la Commune de Paris,Avenue du 11 Novembre 1918,
Croisement80,Avenue de la Commune de Paris,Avenue Lucien Français,
Croisement81,Avenue de la Commune de Paris,Avenue Rouget de Lisle D5,
Croisement82,Avenue de la Commune de Paris,Rue de la Petite Saussaie,
Croisement83,Avenue de la Commune de Paris,Rue Mario Capra,
Croisement84,Avenue de la Commune de Paris,Rue Pierre et Marie Curie,
Croisement85,Avenue de la République D224,Avenue Gambetta,
Croisement86,Avenue de la République D224,Avenue Paul Vaillant-Couturier D155,
Croisement87,Avenue de la République D224,Avenue Victor Hugo,
Croisement88,Avenue de la République D224,Place Malik Oussekine,
Croisement89,Avenue de la République D224,Rue Albert Einstein,
Croisement90,Avenue de la République D224,Rue Félix Faure,
Croisement91,Avenue de la République D224,Rue Jean-Baptiste Renoult D223,
Croisement92,Avenue de la République D224,Rue Jules Ferry,
Croisement93,Avenue des Peupliers,Rue du Perreux,
Croisement94,Avenue des Peupliers,Rue Gabriel Péri,
Croisement95,Avenue des Platanes,Avenue Victor Hugo,
Croisement96,Avenue des Platanes,Rue Émile Zola,
Croisement97,Avenue du 11 Novembre 1918,Avenue Rouget de Lisle D5,
Croisement98,Avenue du 8 Mai 1945,Avenue Albert Thomas,
Croisement99,Avenue du 8 Mai 1945,Rue Ampère,
Croisement100,Avenue du 8 Mai 1945,Rue Camille Blanc,
Croisement101,Avenue du 8 Mai 1945,Rue de Choisy,
Croisement102,Avenue du 8 Mai 1945,Rue du 10 Juillet 1940,
Croisement103,Avenue du Colonel Fabien,Avenue Lemerle Vetter,
Croisement104,Avenue du Colonel Fabien,Rue Édouard Tremblay,
Croisement105,Avenue du Colonel Fabien,Rue Paul Armangot,
Croisement106,Avenue du Colonel Fabien,Rue Verte,
Croisement107,Avenue du Colonel Fabien,Sentier des Églantiers,
Croisement108,Avenue du Colonel Fabien,Voie Greuze,
Croisement109,Avenue du Général Leclerc,Allée du Puits Farouche,
Croisement110,Avenue du Général Leclerc,Avenue de l'Abbé Roger Derry D155,
Croisement111,Avenue du Général Leclerc,Passage de la Petite Faucille,
Croisement112,Avenue du Général Leclerc,Passage du Général Leclerc,
Croisement113,Avenue du Général Leclerc,Rue Audigeois,
Croisement114,Avenue du Groupe Manouchian D274,Avenue des Peupliers,
Croisement115,Avenue du Groupe Manouchian,Avenue Jean Jaurès D148,
Croisement116,Avenue du Groupe Manouchian D274,Passage de la Gaité,
Croisement117,Avenue du Groupe Manouchian,Rue de l'Entente,
Croisement118,Avenue du Groupe Manouchian D274,Rue du Perreux,
Croisement119,Avenue du Groupe Manouchian D274,Rue Jean-Pierre Timbaud,
Croisement120,Avenue du Groupe Manouchian D274,Rue Léon Geffroy D274,
Croisement121,Avenue du Groupe Manouchian D274,Rue Marcelin Berthelot,
Croisement122,Avenue du Groupe Manouchian D274,Rue Paul Rannou,
Croisement123,Avenue du Moulin de Saquet D148,Impasse Audran,
Croisement124,Avenue du Moulin de Saquet D148,Place de la Libération,
Croisement125,Avenue du Moulin de Saquet D148,Rue Édouard Til,
Croisement126,Avenue du Moulin de Saquet D148,Voie Bouchardon,
Croisement127,Avenue du Président Salvador Allende,13,
Croisement128,Avenue du Président Salvador Allende D148,Avenue Jean Jaurès D148,
Croisement129,Avenue du Président Salvador Allende D148,Pont du Port à l'Anglais D148,
Croisement130,Avenue du Président Salvador Allende D148,Quai Jules Guesde D152,
Croisement131,Avenue du Président Salvador Allende D148,Rue Charles Heller,
Croisement132,Avenue du Président Salvador Allende D148,Rue Edith Cavell,
Croisement133,Avenue du Président Salvador Allende D148,Rue Pasteur Prolongée,
Croisement134,Avenue du Président Salvador Allende D148,D152,
Croisement135,Avenue du Progrès,Rue du Général Malleret-Joinville,
Croisement136,Avenue Ernest Havet,Rue Broussais,
Croisement137,Avenue Ernest Havet,Rue Camille Groult,
Croisement138,Avenue Ernest Havet,Rue de la Ferme,
Croisement139,Avenue Ernest Havet,Rue Gabriel Péri,
Croisement140,Avenue Ernest Havet,Rue Talma,
Croisement141,Avenue Eugène Pelletan D5,Avenue du Moulin de Saquet D148,
Croisement142,Avenue Eugène Pelletan D5,Boulevard de Stalingrad D5,
Croisement143,Avenue Eugène Pelletan D5,Place de la Libération,
Croisement144,Avenue Eugène Pelletan D5,Rue Charles Infroit,
Croisement145,Avenue Gambetta,Avenue Chanzy,
Croisement146,Avenue Gambetta,Avenue Paul Vaillant-Couturier D155,
Croisement147,Avenue Guy Môquet,Avenue Danielle Casanova,
Croisement148,Avenue Guy Môquet,Place Jean Martin,
Croisement149,Avenue Guy Môquet,Rue Arago,
Croisement150,Avenue Guy Môquet,Rue Camille Groult,
Croisement151,Avenue Guy Môquet,Rue de Choisy,
Croisement152,Avenue Guy Môquet,Rue de Joigny,
Croisement153,Avenue Guy Môquet,Rue Dupetitval,
Croisement154,Avenue Guy Môquet,Rue Gounod,
Croisement155,Avenue Henri Barbusse D148,Place de l'Église,
Croisement156,Avenue Henri Barbusse D148,Place de la Libération,
Croisement157,Avenue Henri Barbusse,Rue du Général de Gaulle,
Croisement158,Avenue Henri Barbusse D148,Rue Germain Defresne,
Croisement159,Avenue Henri Barbusse D148,Rue Henri de Vilmorin,
Croisement160,Avenue Jean Jaurès D148,Avenue André Maginot,
Croisement161,Avenue Jean Jaurès D148,Avenue du Groupe Manouchian,
Croisement162,Avenue Jean Jaurès D148,Avenue Guy Môquet,
Croisement163,Avenue Jean Jaurès D148,Avenue Henri Barbusse D148,
Croisement164,Avenue Jean Jaurès D148,Cité des Combattants,
Croisement165,Avenue Jean Jaurès D148,Impasse Jean Jaurès,
Croisement166,Avenue Jean Jaurès D148,Rue d'Odessa,
Croisement167,Avenue Jean Jaurès D148,Rue des Frères Poirier,
Croisement168,Avenue Jean Jaurès D148,Rue Désiré Granet,
Croisement169,Avenue Jean Jaurès D148,Rue Gabriel Péri,
Croisement170,Avenue Jean Jaurès D148,Rue Louise-Aglaé Cretté,
Croisement171,Avenue Jean Jaurès D148,Rue Talma,
Croisement172,Avenue Jean Jaurès,Avenue Anatole France D155,Avenue Jean Jaurès D155
Croisement173,Avenue la Bruyère,Avenue Ernest Havet,
Croisement174,Avenue la Bruyère,Rue Blaise Pascal,
Croisement175,Avenue la Bruyère,Rue Broussais,
Croisement176,Avenue la Bruyère,Rue Camille Groult,
Croisement177,Avenue la Bruyère,Rue de la Ferme,
Croisement178,Avenue la Bruyère,Rue des Ardoines,
Croisement179,Avenue la Bruyère,Rue Victor Ruiz,
Croisement180,Avenue Lemerle Vetter,Rue Paul Armangot,
Croisement181,Avenue Lemerle Vetter,Voie Barye,
Croisement182,Avenue Lemerle Vetter,Voie Rubens,
Croisement183,Avenue Louis Blériot,Cours Latham,
Croisement184,Avenue Lucien Français,Allée du Marronnier,
Croisement185,Avenue Lucien Français,Avenue de l'Abbé Roger Derry D155,
Croisement186,Avenue Lucien Français,Avenue de la Commune de Paris,
Croisement187,Avenue Lucien Français,Rue de Burnley,
Croisement188,Avenue Maximilien Robespierre D5,Allée de la Petite Faucille,
Croisement189,Avenue Maximilien Robespierre D5,Allée du Coteau,
Croisement190,Avenue Maximilien Robespierre D5,Avenue de l'Abbé Roger Derry D155,
Croisement191,Avenue Maximilien Robespierre D5,Avenue Lucien Français,
Croisement192,Avenue Maximilien Robespierre D5,Avenue Youri Gagarine D5,
Croisement193,Avenue Maximilien Robespierre D5,Passage du Général Leclerc,
Croisement194,Avenue Maximilien Robespierre D5,Place de la Libération,
Croisement195,Avenue Maximilien Robespierre D5,Rue Audigeois,
Croisement196,Avenue Maximilien Robespierre D5,Rue Édouard Tremblay,
Croisement197,Avenue Paul Vaillant-Couturier D155,Avenue Anatole France D155,
Croisement198,Avenue Paul Vaillant-Couturier D155,Avenue André Maginot,
Croisement199,Avenue Paul Vaillant-Couturier D155,Avenue de l'Abbé Roger Derry D155,
Croisement200,Avenue Paul Vaillant-Couturier D155,Avenue de l'Insurrection,
Croisement201,Avenue Paul Vaillant-Couturier D155,Avenue de la République D224,
Croisement202,Avenue Paul Vaillant-Couturier D155,Avenue du Parc,
Croisement203,Avenue Paul Vaillant-Couturier D155,Avenue Gambetta,
Croisement204,Avenue Paul Vaillant-Couturier D155,Avenue Henri Barbusse D148,
Croisement205,Avenue Paul Vaillant-Couturier D155,Avenue Jean Jaurès D148,
Croisement206,Avenue Paul Vaillant-Couturier D155,Cité des Combattants,
Croisement207,Avenue Paul Vaillant-Couturier D155,Cours de la Gare,
Croisement208,Avenue Paul Vaillant-Couturier D155,Place Pierre Semard,
Croisement209,Avenue Paul Vaillant-Couturier D155,Rue Charles Infroit,
Croisement210,Avenue Paul Vaillant-Couturier D155,Rue de l'Église,
Croisement211,Avenue Paul Vaillant-Couturier D155,Rue Désiré Granet,
Croisement212,Avenue Paul Vaillant-Couturier D155,Rue du Maréchal Foch,
Croisement213,Avenue Paul Vaillant-Couturier D155,Rue Franklin,
Croisement214,Avenue Paul Vaillant-Couturier D155,Rue Gabriel Péri,
Croisement215,Avenue Paul Vaillant-Couturier D155,Rue Henri Poincaré,
Croisement216,Avenue Paul Vaillant-Couturier D155,Rue Jules Ferry,
Croisement217,Avenue Paul Vaillant-Couturier D155,Rue Louise-Aglaé Cretté,
Croisement218,Avenue Paul Vaillant-Couturier D155,Rue Neuve,
Croisement219,Avenue Pierre Brossolette,Avenue Vial,
Croisement220,Avenue Pierre Brossolette,Rue d'Ivry,
Croisement221,Avenue Rabelais,Rue Henri Matisse,
Croisement222,Avenue Rabelais,Rue Mario Capra,
Croisement223,Avenue Rabelais,Voie des Blondeaux,
Croisement224,Avenue Rabelais,Voie Rodin,
Croisement225,Avenue Rouget de Lisle D5,Avenue du 11 Novembre 1918,
Croisement226,Avenue Rouget de Lisle D5,Rue Voltaire,
Croisement227,Avenue Rouget de Lisle D5,Rue Watteau,
Croisement228,Avenue Rouget de Lisle D5,Sente des Plâtrières,
Croisement229,Avenue Vial,Avenue Pierre Brossolette,
Croisement230,Avenue Vial,Rue Chevreul,
Croisement231,Avenue Victor Hugo,Avenue des Platanes,
Croisement232,Avenue Victor Hugo,Rue Jules Ferry,
Croisement233,Avenue Youri Gagarine D5,Avenue de l'Abbé Roger Derry D155,
Croisement234,Avenue Youri Gagarine D5,Avenue Lucien Français,
Croisement235,Avenue Youri Gagarine D5,Avenue Rouget de Lisle D5,
Croisement236,Avenue Youri Gagarine D5,Rue de Kladno,
Croisement237,Avenue Youri Gagarine D5,Rue de la Petite Saussaie,
Croisement238,Avenue Youri Gagarine D5,Rue Mario Capra,
Croisement239,Boulevard de Stalingrad D5,Allée des Sophoras,
Croisement240,Boulevard de Stalingrad D5,Allée Pierre Lamouroux,
Croisement241,Boulevard de Stalingrad D5,Avenue de Verdun D5,
Croisement242,Boulevard de Stalingrad D5,Avenue Eugène Pelletan D5,
Croisement243,Boulevard de Stalingrad D5,Rue des Pavillons,
Croisement244,Boulevard de Stalingrad D5,Rue Erik Satie,
Croisement245,Boulevard de Stalingrad D5,Rue Gagnée,
Croisement246,Boulevard de Stalingrad D5,Rue Germain Pinson,
Croisement247,Boulevard de Stalingrad D5,Rue Germaine Tailleferre,
Croisement248,Boulevard de Stalingrad D5,Rue Ludwig van Beethoven,
Croisement249,Boulevard de Stalingrad D5,Rue Michelet,
Croisement250,Boulevard de Stalingrad D5,Ruelle du Fossé Vert,
Croisement251,Boulevard de Stalingrad D5,Sentier du Champ Canné,
Croisement252,Canal Fleuri,Avenue Lemerle Vetter,
Croisement253,Canal Fleuri,Rue Julian Grimau,
Croisement254,Chemin Latéral,Rue Pasteur,
Croisement255,Chemin Latéral,Rue Pierre Semard,
Croisement256,Cours de la Gare,Avenue Anatole France D155,
Croisement257,Cours de la Gare,Avenue Paul Vaillant-Couturier D155,
Croisement258,Cours de la Gare,Place Pierre Semard,
Croisement259,Cours de la Gare,Rue Jules Ferry,
Croisement260,Cours Farman,Cours Latham,
Croisement261,Esplanade Pour le Respect de l'Égalité Sohane Benziane,Rue Balzac,
Croisement262,Esplanade Pour le Respect de l'Égalité Sohane Benziane,Sente Flora Tristan,
Croisement263,Impasse André Kommer,Rue Édouard Tremblay,
Croisement264,Impasse de la Voie de Thiais,Rue Julian Grimau,
Croisement265,Impasse des Artisans,Cité des Rosiers,
Croisement266,Impasse des Ateliers,Rue Léon Mauvais,
Croisement267,Impasse des Sablons,Voie Charcot,
